facility,permit,Outfall,key,permit_outfall,state,kg_N_TN_per_month,month_year,EXTERNAL_PERMIT_NMBR.x,FACILITY_NAME,SIC_CODES,SIC_DESCRIPTIONS,PERM_FEATURE_NMBR.x,STATE_WATER_BODY_NAME,LATITUDE83,LONGITUDE83,impute_lat,impute_lon,EXTERNAL_PERMIT_NMBR.y,PERM_FEATURE_NMBR.y,huc8,name,impute_name
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1997-12-31,CT0101761_1,CT,7.029478458049886,1997-12,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-01-31,CT0101761_1,CT,11.24716553287982,1998-01,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-02-28,CT0101761_1,CT,8.88888888888889,1998-02,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-03-31,CT0101761_1,CT,22.49433106575964,1998-03,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-04-30,CT0101761_1,CT,16.326530612244895,1998-04,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-05-31,CT0101761_1,CT,7.029478458049886,1998-05,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-06-30,CT0101761_1,CT,2.7210884353741496,1998-06,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-07-31,CT0101761_1,CT,14.058956916099772,1998-07,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-08-31,CT0101761_1,CT,5.62358276643991,1998-08,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-09-30,CT0101761_1,CT,2.7210884353741496,1998-09,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
EAST HADDAM WPCF,CT0101761,1,CT0101761_1_1998-10-31,CT0101761_1,CT,5.62358276643991,1998-10,CT0101761,EAST HADDAM WPCF,4952,Sewerage Systems,1,CONNECTICUT RIVER,41.449348,-72.45882,NA,NA,CT0101761,1,01080205,Outlet Connecticut River,NA
