"permit","facility","Outfall","quant_avg","conc_avg","Meas Conc Maxm (MCMX)...6","Meas Conc Maxm (MCMX)...7","days_per_month","key","param","permit_outfall","permit_outfall_designator","state","kg_N_TN_per_month","Monitoring Dt (MVDT)","Discharge Designator (DRID)","Parameter Cd (PRAM)","Monitoring Location (MLOC)","#MULTIVALUE","Meas Quant Maxm (MQMX)","Quant Unit Cd (LQUC)","Quant Unit Cd Desc (LQUCD)","Meas Conc Minm (MCMN)","Meas Conc Maxm (MCMX)...15","Meas Conc Maxm (MCMX)...16","Conc Unit Cd (LCUC)","Conc Unit Cd Desc (LCUCD)","month_year","EXTERNAL_PERMIT_NMBR.x","FACILITY_NAME","SIC_CODES","SIC_DESCRIPTIONS","PERM_FEATURE_NMBR.x","STATE_WATER_BODY_NAME","LATITUDE83","LONGITUDE83","impute_lat","impute_lon","EXTERNAL_PERMIT_NMBR.y","PERM_FEATURE_NMBR.y","huc8","name","impute_name"
"CT0101761","EAST HADDAM WPCF","1",0.5,NA,NA,NA,31,"CT0101761_1_1997-12-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",7.02947845804989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997-12","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.8,NA,NA,NA,31,"CT0101761_1_1998-01-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",11.2471655328798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-01","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.7,NA,NA,NA,28,"CT0101761_1_1998-02-28","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",8.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-02","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",1.6,NA,NA,NA,31,"CT0101761_1_1998-03-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",22.4943310657596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-03","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",1.2,NA,NA,NA,30,"CT0101761_1_1998-04-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",16.3265306122449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-04","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.5,NA,NA,NA,31,"CT0101761_1_1998-05-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",7.02947845804989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-05","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.2,NA,NA,NA,30,"CT0101761_1_1998-06-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",2.72108843537415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-06","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",1,NA,NA,NA,31,"CT0101761_1_1998-07-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",14.0589569160998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-07","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.4,NA,NA,NA,31,"CT0101761_1_1998-08-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",5.62358276643991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-08","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",0.2,NA,NA,NA,30,"CT0101761_1_1998-09-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",2.72108843537415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-09","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
